cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=1 MeV - angular distribution (1/sr),E=1 eV - Angular distribution (1/sr),1 MeV cross section (barn),Ef/Ei
-0.58,125.4505426,0.814616474,0.006493527,0.42,1.939563034,62.72527132,0.338328468,1.646850208,0.500637509,0.500000001,1.479738056,0.21
-0.57,124.7502258,0.821644692,0.006586318,0.43,1.910801609,62.37511288,0.338321645,1.646850208,0.500627413,0.500000001,1.479738056,0.215
-0.56,124.0557977,0.828492607,0.006678387,0.44,1.882937743,62.02789887,0.338314812,1.646850208,0.500617302,0.500000001,1.479738056,0.22
-0.55,123.367013,0.835164654,0.006769757,0.45,1.855921454,61.68350648,0.338307969,1.646850208,0.500607176,0.500000001,1.479738056,0.225
-0.54,122.6836388,0.841665017,0.00686045,0.46,1.829706558,61.34181942,0.338301115,1.646850207,0.500597034,0.500000001,1.479738056,0.23
-0.53,122.0054548,0.847997642,0.00695049,0.47,1.804250301,61.00272741,0.338294251,1.646850207,0.500586877,0.500000001,1.479738056,0.235
-0.52,121.3322515,0.85416626,0.007039895,0.48,1.779513042,60.66612575,0.338287377,1.646850207,0.500576705,0.500000001,1.479738056,0.24
-0.51,120.6638297,0.860174401,0.007128685,0.49,1.755457961,60.33191487,0.338280492,1.646850207,0.500566518,0.500000001,1.479738056,0.245
-0.5,120,0.866025404,0.007216878,0.5,1.732050808,60,0.338273597,1.646850207,0.500556315,0.500000001,1.479738056,0.25
-0.49,119.3405816,0.871722433,0.007304493,0.51,1.709259672,59.67029079,0.338266692,1.646850207,0.500546097,0.500000001,1.479738056,0.255
-0.48,118.685402,0.877268488,0.007391545,0.52,1.687054785,59.34270101,0.338259776,1.646850207,0.500535864,0.500000001,1.479738056,0.26
-0.47,118.0342965,0.882666415,0.00747805,0.53,1.66540833,59.01714827,0.33825285,1.646850207,0.500525615,0.500000001,1.479738056,0.265
-0.46,117.3871075,0.887918915,0.007564024,0.54,1.644294287,58.69355375,0.338245914,1.646850207,0.500515351,0.500000001,1.479738056,0.27
-0.45,116.743684,0.893028555,0.007649481,0.55,1.623688282,58.37184198,0.338238967,1.646850207,0.500505072,0.500000001,1.479738056,0.275
-0.44,116.1038811,0.897997773,0.007734434,0.56,1.603567451,58.05194057,0.33823201,1.646850207,0.500494777,0.500000001,1.479738056,0.28
-0.43,115.4675601,0.902828887,0.007818896,0.57,1.583910329,57.73378007,0.338225043,1.646850207,0.500484467,0.500000001,1.479738056,0.285
-0.42,114.8345875,0.907524104,0.007902881,0.58,1.564696732,57.41729374,0.338218065,1.646850207,0.500474141,0.500000001,1.479738056,0.29
-0.41,114.2048348,0.912085522,0.0079864,0.59,1.545907665,57.1024174,0.338211076,1.646850206,0.500463801,0.500000001,1.479738056,0.295
-0.4,113.5781785,0.916515139,0.008069465,0.6,1.527525232,56.78908924,0.338204078,1.646850206,0.500453444,0.500000001,1.479738056,0.3
-0.39,112.9544994,0.920814857,0.008152087,0.61,1.509532552,56.4772497,0.338197068,1.646850206,0.500443073,0.500000001,1.479738056,0.305
-0.38,112.3336827,0.924986486,0.008234275,0.62,1.491913688,56.16684133,0.338190049,1.646850206,0.500432685,0.500000001,1.479738056,0.31
